"GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","fecha","NA"
"g80-89","Home / Hombre",3.9,7570,37.7,1575,20210611,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1703,13.9,581,20210611,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14755,0,0,20210610,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22206,0.1,2,20210610,"2021-06-18"
"g20-29","Dona / Mujer",12.9,27326,0,1,20210610,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29427,0.2,7,20210610,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36483,0.7,24,20210610,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32109,2.2,73,20210610,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20695,5.9,193,20210610,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14036,18.6,610,20210610,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11212,44.3,1450,20210610,"2021-06-18"
"g90 o más","Dona / Mujer",2,4334,27.9,911,20210610,"2021-06-18"
"g0-9","Home / Hombre",7.7,15119,0,0,20210610,"2021-06-18"
"g10-19","Home / Hombre",11.5,22362,0,1,20210610,"2021-06-18"
"g20-29","Home / Hombre",13,25329,0.1,3,20210610,"2021-06-18"
"g30-39","Home / Hombre",13.4,26217,0.3,11,20210610,"2021-06-18"
"g40-49","Home / Hombre",17.2,33481,1.3,56,20210610,"2021-06-18"
"g50-59","Home / Hombre",15.3,29804,4.7,194,20210610,"2021-06-18"
"g60-69","Home / Hombre",10.5,20551,13.9,578,20210610,"2021-06-18"
"g70-79","Home / Hombre",6.7,13054,28.1,1174,20210610,"2021-06-18"
"g80-89","Home / Hombre",3.9,7569,37.7,1573,20210610,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1701,13.9,581,20210610,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14745,0,0,20210609,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22197,0.1,2,20210609,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27299,0,1,20210609,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29416,0.2,7,20210609,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36468,0.7,24,20210609,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32098,2.2,73,20210609,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20687,5.9,193,20210609,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14032,18.6,610,20210609,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11212,44.3,1450,20210609,"2021-06-18"
"g90 o más","Dona / Mujer",2,4334,27.9,911,20210609,"2021-06-18"
"g0-9","Home / Hombre",7.7,15112,0,0,20210609,"2021-06-18"
"g10-19","Home / Hombre",11.5,22346,0,1,20210609,"2021-06-18"
"g20-29","Home / Hombre",13,25304,0.1,3,20210609,"2021-06-18"
"g30-39","Home / Hombre",13.4,26202,0.3,11,20210609,"2021-06-18"
"g40-49","Home / Hombre",17.2,33463,1.3,56,20210609,"2021-06-18"
"g50-59","Home / Hombre",15.3,29788,4.7,194,20210609,"2021-06-18"
"g60-69","Home / Hombre",10.5,20548,13.9,578,20210609,"2021-06-18"
"g70-79","Home / Hombre",6.7,13054,28.1,1174,20210609,"2021-06-18"
"g80-89","Home / Hombre",3.9,7568,37.7,1573,20210609,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1701,13.9,581,20210609,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14739,0,0,20210608,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22187,0.1,2,20210608,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27280,0,1,20210608,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29399,0.2,7,20210608,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36446,0.7,24,20210608,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32079,2.2,73,20210608,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20683,5.9,193,20210608,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14031,18.6,610,20210608,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11209,44.3,1450,20210608,"2021-06-18"
"g90 o más","Dona / Mujer",2,4335,27.9,911,20210608,"2021-06-18"
"g0-9","Home / Hombre",7.7,15103,0,0,20210608,"2021-06-18"
"g10-19","Home / Hombre",11.5,22337,0,1,20210608,"2021-06-18"
"g20-29","Home / Hombre",13,25279,0.1,3,20210608,"2021-06-18"
"g30-39","Home / Hombre",13.4,26182,0.3,11,20210608,"2021-06-18"
"g40-49","Home / Hombre",17.2,33447,1.3,56,20210608,"2021-06-18"
"g50-59","Home / Hombre",15.3,29770,4.7,194,20210608,"2021-06-18"
"g60-69","Home / Hombre",10.5,20541,13.9,578,20210608,"2021-06-18"
"g70-79","Home / Hombre",6.7,13052,28.1,1174,20210608,"2021-06-18"
"g80-89","Home / Hombre",3.9,7566,37.7,1573,20210608,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1702,13.9,581,20210608,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14735,0,0,20210607,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22184,0.1,2,20210607,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27266,0,1,20210607,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29388,0.2,7,20210607,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36432,0.7,24,20210607,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32068,2.2,73,20210607,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20675,5.9,193,20210607,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14030,18.6,610,20210607,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11208,44.3,1450,20210607,"2021-06-18"
