"fecha","GrupoEdad","Sexo","CasosAcum","DefAcum","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
"2020-06-03","g10-19","Mujer",122,1,3,0,0,0,0,0,5003769
"2020-06-03","g20-29","Mujer",693,0,7,0,0,0,0,0,5003769
"2020-06-03","g30-39","Mujer",1121,1,9,0,0,0,0,0,5003769
"2020-06-03","g40-49","Mujer",1497,4,13,0,0,0,0,0,5003769
"2020-06-03","g50-59","Mujer",1670,14,10,0,0,0,0,0,5003769
"2020-06-03","g60-69","Mujer",1237,43,10,0,0,0,0,0,5003769
"2020-06-03","g70-79","Mujer",1006,124,3,0,0,0,0,0,5003769
"2020-06-03","g80-89","Mujer",1183,291,4,1,0,0,0,0,5003769
"2020-06-03","g90 o mas","Mujer",598,165,-1,2,0,0,0,0,5003769
"2020-06-04","g0-9","Hombre",78,0,1,0,0,0,11,11,5003769
"2020-06-04","g10-19","Hombre",105.5,0,1.5,0,0,0,18.5,18.5,5003769
"2020-06-04","g20-29","Hombre",387.5,1,1.5,0,0,0,17.5,17.5,5003769
"2020-06-04","g30-39","Hombre",794.5,6,8.5,0,0,0,38.5,38.5,5003769
"2020-06-04","g40-49","Hombre",1141.5,7,11.5,0,0,0,41.5,41.5,5003769
"2020-06-04","g50-59","Hombre",1272.5,27,12.5,0,0,0,40.5,40.5,5003769
"2020-06-04","g60-69","Hombre",1292.5,108.5,4.5,0.5,0,0,31.5,31.5,5003769
"2020-06-04","g70-79","Hombre",1166.5,261.5,5.5,0.5,0,0,24.5,24.5,5003769
"2020-06-04","g80-89","Hombre",839,291.5,3,0.5,0,0,11,11,5003769
"2020-06-04","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-04","g0-9","Mujer",64,0,3,0,0,0,8,8,5003769
"2020-06-04","g10-19","Mujer",124.5,1,2.5,0,0,0,18.5,18.5,5003769
"2020-06-04","g20-29","Mujer",700.5,0,7.5,0,0,0,32.5,32.5,5003769
"2020-06-04","g30-39","Mujer",1130,1,9,0,0,0,42,42,5003769
"2020-06-04","g40-49","Mujer",1512,4,15,0,0,0,56,56,5003769
"2020-06-04","g50-59","Mujer",1679,14,9,0,0,0,48,48,5003769
"2020-06-04","g60-69","Mujer",1246.5,43,9.5,0,0,0,39.5,39.5,5003769
"2020-06-04","g70-79","Mujer",1014.5,124.5,8.5,0.5,0,0,31.5,31.5,5003769
"2020-06-04","g80-89","Mujer",1187.5,291,4.5,0,0,0,16.5,16.5,5003769
"2020-06-04","g90 o mas","Mujer",599.5,165.5,1.5,0.5,0,0,4.5,4.5,5003769
"2020-06-05","g0-9","Hombre",79,0,1,0,0,0,12,12,5003769
"2020-06-05","g10-19","Hombre",107,0,1.5,0,0,0,20,20,5003769
"2020-06-05","g20-29","Hombre",389,1,1.5,0,0,0,19,19,5003769
"2020-06-05","g30-39","Hombre",803,6,8.5,0,0,0,47,47,5003769
"2020-06-05","g40-49","Hombre",1153,7,11.5,0,0,0,53,53,5003769
"2020-06-05","g50-59","Hombre",1285,27,12.5,0,0,0,53,53,5003769
"2020-06-05","g60-69","Hombre",1297,109,4.5,0.5,0,0,36,36,5003769
"2020-06-05","g70-79","Hombre",1172,262,5.5,0.5,0,0,30,30,5003769
"2020-06-05","g80-89","Hombre",842,292,3,0.5,0,0,14,14,5003769
"2020-06-05","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-05","g0-9","Mujer",67,0,3,0,0,0,11,11,5003769
"2020-06-05","g10-19","Mujer",127,1,2.5,0,0,0,21,21,5003769
"2020-06-05","g20-29","Mujer",708,0,7.5,0,0,0,40,40,5003769
"2020-06-05","g30-39","Mujer",1139,1,9,0,0,0,51,51,5003769
"2020-06-05","g40-49","Mujer",1527,4,15,0,0,0,71,71,5003769
"2020-06-05","g50-59","Mujer",1688,14,9,0,0,0,57,57,5003769
"2020-06-05","g60-69","Mujer",1256,43,9.5,0,0,0,49,49,5003769
"2020-06-05","g70-79","Mujer",1023,125,8.5,0.5,0,0,40,40,5003769
"2020-06-05","g80-89","Mujer",1192,291,4.5,0,0,0,21,21,5003769
"2020-06-05","g90 o mas","Mujer",601,166,1.5,0.5,0,0,6,6,5003769
"2020-06-06","g0-9","Hombre",80,0,1,0,0,0,12.3333333333333,12.3333333333333,5003769
"2020-06-06","g10-19","Hombre",109,0,2,0,0,0,19,19,5003769
"2020-06-06","g20-29","Hombre",393,1,4,0,0,0,21.6666666666667,21.6666666666667,5003769
"2020-06-06","g30-39","Hombre",804,6,1,0,0,0,43.6666666666666,43.6666666666666,5003769
"2020-06-06","g40-49","Hombre",1157,7,4,0,0,0,52,52,5003769
"2020-06-06","g50-59","Hombre",1297,27,12,0,0,0,61,61,5003769
"2020-06-06","g60-69","Hombre",1297,109,0,0,0,0,32,32,5003769
"2020-06-06","g70-79","Hombre",1175,262,3,0,0,0,30.3333333333333,30.3333333333333,5003769
"2020-06-06","g80-89","Hombre",842,292,0,0,0,0,13.3333333333334,13.3333333333334,5003769
"2020-06-06","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-06","g0-9","Mujer",69,0,2,0,0,0,12,12,5003769
"2020-06-06","g10-19","Mujer",128,1,1,0,0,0,20,20,5003769
"2020-06-06","g20-29","Mujer",716,0,8,0,0,0,43.6666666666666,43.6666666666666,5003769
"2020-06-06","g30-39","Mujer",1145,1,6,0,0,0,53,53,5003769
"2020-06-06","g40-49","Mujer",1534,4,7,0,0,0,73,73,5003769
"2020-06-06","g50-59","Mujer",1696,14,8,0,0,0,58.6666666666667,58.6666666666667,5003769
"2020-06-06","g60-69","Mujer",1263,43,7,0,0,0,53.3333333333333,53.3333333333333,5003769
"2020-06-06","g70-79","Mujer",1033,125,10,0,0,0,46,46,5003769
"2020-06-06","g80-89","Mujer",1191,291,-1,0,0,0,19,19,5003769
"2020-06-06","g90 o mas","Mujer",601,166,0,0,0,0,5,5,5003769
"2020-06-07","g0-9","Hombre",81,0,1,0,0,0,12.6666666666667,12.6666666666667,5003769
"2020-06-07","g10-19","Hombre",109,0,0,0,0,0,16,16,5003769
"2020-06-07","g20-29","Hombre",398,1,5,0,0,0,25.3333333333333,25.3333333333333,5003769
"2020-06-07","g30-39","Hombre",806,6,2,0,0,0,41.3333333333334,41.3333333333334,5003769
"2020-06-07","g40-49","Hombre",1160,7,3,0,0,0,50,50,5003769
"2020-06-07","g50-59","Hombre",1298,27,1,0,0,0,58,58,5003769
"2020-06-07","g60-69","Hombre",1299,109,2,0,0,0,30,30,5003769
"2020-06-07","g70-79","Hombre",1175,262,0,0,0,0,27.6666666666667,27.6666666666667,5003769
"2020-06-07","g80-89","Hombre",844,292,2,0,0,0,14.6666666666666,14.6666666666666,5003769
"2020-06-07","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-07","g0-9","Mujer",70,0,1,0,0,0,12,12,5003769
"2020-06-07","g10-19","Mujer",128,1,0,0,0,0,18,18,5003769
"2020-06-07","g20-29","Mujer",717,0,1,0,0,0,40.3333333333334,40.3333333333334,5003769
"2020-06-07","g30-39","Mujer",1148,1,3,0,0,0,52,52,5003769
"2020-06-07","g40-49","Mujer",1538,4,4,0,0,0,72,72,5003769
"2020-06-07","g50-59","Mujer",1699,14,3,0,0,0,55.3333333333333,55.3333333333333,5003769
"2020-06-07","g60-69","Mujer",1263,43,0,0,0,0,50.6666666666667,50.6666666666667,5003769
"2020-06-07","g70-79","Mujer",1036,125,3,0,0,0,45,45,5003769
"2020-06-07","g80-89","Mujer",1193,291,2,0,0,0,20,20,5003769
"2020-06-07","g90 o mas","Mujer",602,166,1,0,0,0,5,5,5003769
"2020-06-08","g0-9","Hombre",82,0,1,0,0,0,13,13,5003769
"2020-06-08","g10-19","Hombre",110,0,1,0,0,0,14,14,5003769
"2020-06-08","g20-29","Hombre",399,1,1,0,0,0,25,25,5003769
"2020-06-08","g30-39","Hombre",808,6,2,0,0,0,39,39,5003769
"2020-06-08","g40-49","Hombre",1178,7,18,0,0,0,63,63,5003769
"2020-06-08","g50-59","Hombre",1308,27,10,0,0,0,64,64,5003769
"2020-06-08","g60-69","Hombre",1305,110,6,1,0,0,32,32,5003769
"2020-06-08","g70-79","Hombre",1178,264,3,2,0,0,28,28,5003769
"2020-06-08","g80-89","Hombre",844,292,0,0,0,0,14,14,5003769
"2020-06-08","g90 o mas","Hombre",221,95,0,0,0,0,0,0,5003769
"2020-06-08","g0-9","Mujer",70,0,0,0,0,0,11,11,5003769
"2020-06-08","g10-19","Mujer",132,1,4,0,0,0,20,20,5003769
"2020-06-08","g20-29","Mujer",723,0,6,0,0,0,42,42,5003769
"2020-06-08","g30-39","Mujer",1153,1,5,0,0,0,53,53,5003769
"2020-06-08","g40-49","Mujer",1547,4,9,0,0,0,76,76,5003769
"2020-06-08","g50-59","Mujer",1711,14,12,0,0,0,61,61,5003769
"2020-06-08","g60-69","Mujer",1268,43,5,0,0,0,53,53,5003769
"2020-06-08","g70-79","Mujer",1038,126,2,1,0,0,43,43,5003769
"2020-06-08","g80-89","Mujer",1197,291,4,0,0,0,23,23,5003769
"2020-06-08","g90 o mas","Mujer",606,166,4,0,0,0,8,8,5003769
"2020-06-09","g0-9","Hombre",83,0,1,0,0,0,10,10,5003769
"2020-06-09","g10-19","Hombre",112,0,2,0,0,0,10,10,5003769
"2020-06-09","g20-29","Hombre",400,1,1,0,0,0,21,21,5003769
"2020-06-09","g30-39","Hombre",809,6,1,0,0,0,30,30,5003769
"2020-06-09","g40-49","Hombre",1186,7,8,0,0,0,63,63,5003769
"2020-06-09","g50-59","Hombre",1317,27,9,0,0,0,60,60,5003769
