"fecha","GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","NA.","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
2020-05-30,"g40-49","Mujer",16.2,1461,0.6,4,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-30,"g50-59","Mujer",18.2,1642,2.2,14,"2021-07-15",11,0,0,0,0,0,5067031
2020-05-30,"g60-69","Mujer",13.5,1212,6.7,43,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-30,"g70-79","Mujer",11,993,19.4,124,"2021-07-15",10,0,0,0,0,0,5067031
2020-05-30,"g80-89","Mujer",13,1173,45.3,290,"2021-07-15",2,0,0,0,0,0,5067031
2020-05-30,"g90 o mas","Mujer",6.6,597,25.5,163,"2021-07-15",2,2,0,0,0,0,5067031
2020-05-31,"g0-9","Hombre",1,68,0,0,"2021-07-15",1,0,0,0,0,0,5067031
2020-05-31,"g10-19","Hombre",1.3,94,0,0,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-31,"g20-29","Hombre",5.2,372,0.1,1,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g30-39","Hombre",10.7,761,0.8,6,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g40-49","Hombre",15.6,1108,0.9,7,"2021-07-15",4,0,0,0,0,0,5067031
2020-05-31,"g50-59","Hombre",17.4,1236,3.4,27,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g60-69","Hombre",17.8,1267,13.5,107,"2021-07-15",1,0,0,0,0,0,5067031
2020-05-31,"g70-79","Hombre",16.1,1147,32.8,260,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g80-89","Hombre",11.7,830,36.5,289,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g90 o mas","Hombre",3.1,221,12,95,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g0-9","Mujer",0.7,59,0,0,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g10-19","Mujer",1.2,108,0.2,1,"2021-07-15",1,0,0,0,0,0,5067031
2020-05-31,"g20-29","Mujer",7.5,675,0,0,"2021-07-15",2,0,0,0,0,0,5067031
2020-05-31,"g30-39","Mujer",12.1,1092,0.2,1,"2021-07-15",1,0,0,0,0,0,5067031
2020-05-31,"g40-49","Mujer",16.2,1462,0.6,4,"2021-07-15",1,0,0,0,0,0,5067031
2020-05-31,"g50-59","Mujer",18.2,1645,2.2,14,"2021-07-15",3,0,0,0,0,0,5067031
2020-05-31,"g60-69","Mujer",13.4,1212,6.7,43,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g70-79","Mujer",11,993,19.4,124,"2021-07-15",0,0,0,0,0,0,5067031
